"Freq [GHz]","dB(S(1,1)) []"
2.5,-1.70737592884494
2.51,-1.73376602550039
2.52,-1.76060480599467
2.53,-1.787912859336
2.54,-1.8157117458222
2.55,-1.84402403752714
2.56,-1.87287336162853
2.57,-1.9022844467497
2.58,-1.93228317250027
2.59,-1.9628966224139
2.6,-1.99415314049542
2.61,-2.02608239160551
2.62,-2.0587154259274
2.63,-2.09208474777872
2.64,-2.12622438905092
2.65,-2.16116998758041
2.66,-2.19695887077854
2.67,-2.23363014487287
2.68,-2.27122479013943
2.69,-2.30978576253574
2.7,-2.34935810217641
2.71,-2.38998904912901
2.72,-2.43172816704608
2.73,-2.47462747519166
2.74,-2.51874158946686
2.75,-2.56412787308958
2.76,-2.6108465976392
2.77,-2.6589611152382
2.78,-2.70853804270999
2.79,-2.75964745862687
2.8,-2.81236311424407
2.81,-2.86676265940743
2.82,-2.92292788462336
2.83,-2.98094498059308
2.84,-3.04090481663914
2.85,-3.10290323959353
2.86,-3.16704139487541
2.87,-3.23342607166537
2.88,-3.30217007428421
2.89,-3.37339262211377
2.9,-3.44721978065577
2.91,-3.52378492662144
2.92,-3.60322925028201
2.93,-3.68570229869849
2.94,-3.77136256389448
2.95,-3.86037812055082
2.96,-3.95292731839572
2.97,-4.04919953515586
2.98,-4.14939599673844
2.99,-4.25373067225425
3,-4.3624312525927
3.01,-4.47574022255283
3.02,-4.59391603805727
3.03,-4.71723442177368
3.04,-4.84598979259826
3.05,-4.980496846981
3.06,-5.12109231307884
3.07,-5.2681369023052
3.08,-5.4220174871251
3.09,-5.5831495390684
3.1,-5.75197986707634
3.11,-5.92898970367178
3.12,-6.11469819530829
3.13,-6.3096663639139
3.14,-6.51450161946745
3.15,-6.7298629188513
3.16,-6.95646668469764
3.17,-7.19509362001014
3.18,-7.44659658052939
3.19,-7.71190969756296
3.2,-7.99205897951802
3.21,-8.28817466027157
3.22,-8.60150560522558
3.23,-8.93343612755111
3.24,-9.28550559948562
3.25,-9.65943125019978
3.26,-10.057134491075
3.27,-10.4807709412903
3.28,-10.9327639284434
3.29,-11.4158403976053
3.3,-11.9330664744839
3.31,-12.4878766251376
3.32,-13.084083956725
3.33,-13.7258468452655
3.34,-14.417543185933
3.35,-15.1634573729677
3.36,-15.9670963798766
3.37,-16.8297847572122
3.38,-17.7478952112495
3.39,-18.7076398618336
3.4,-19.6760554247684
3.41,-20.5880482616484
3.42,-21.3358535239145
3.43,-21.7814636182801
3.44,-21.8147908163382
3.45,-21.4277753255477
3.46,-20.7206610913618
3.47,-19.8321229601357
3.48,-18.8754737393754
3.49,-17.9210570104658
3.5,-17.0052797971847
3.51,-16.1438513672221
3.52,-15.3413757407603
3.53,-14.5969856740029
3.54,-13.9073623290021
3.55,-13.2682754420279
3.56,-12.6753375485563
3.57,-12.1243528307454
3.58,-11.6114607832854
3.59,-11.133178281663
3.6,-10.6863932595605
3.61,-10.2683371370691
3.62,-9.87654966001647
3.63,-9.5088428313487
3.64,-9.16326700957907
3.65,-8.83808040322576
3.66,-8.53172226581654
3.67,-8.24278965450363
3.68,-7.97001742502621
3.69,-7.71226107387257
3.7,-7.4684820398444
3.71,-7.23773510738196
3.72,-7.01915759505045
3.73,-6.81196005546293
3.74,-6.61541825332032
3.75,-6.4288662243943
3.76,-6.25169024966826
3.77,-6.083323605626
3.78,-5.92324197426581
3.79,-5.77095941534014
3.8,-5.62602481910939
3.81,-5.48801877104021
3.82,-5.35655077080598
3.83,-5.23125675703406
3.84,-5.11179689680138
3.85,-4.9978536051748
3.86,-4.88912976533989
3.87,-4.78534712424583
3.88,-4.68624484236115
3.89,-4.59157817921106
3.9,-4.50111729895113
3.91,-4.41464618240878
3.92,-4.33196163386191
3.93,-4.25287237237995
3.94,-4.17719819887256
3.95,-4.10476923111535
3.96,-4.03542519998079
3.97,-3.96901480092371
3.98,-3.90539509547527
3.99,-3.84443095810648
4,-3.78599456434679
4.01,-3.72996491649745
4.02,-3.67622740367458
4.03,-3.62467339326172
4.04,-3.57519985115289
4.05,-3.52770898843237
4.06,-3.48210793237073
4.07,-3.43830841982256
4.08,-3.39622651129478
4.09,-3.3557823241166
4.1,-3.31689978328785
4.11,-3.27950638871223
4.12,-3.24353299763884
4.13,-3.20891362124058
4.14,-3.17558523435299
4.15,-3.14348759748336
4.16,-3.11256309027788
4.17,-3.08275655570608
4.18,-3.05401515428653
4.19,-3.02628822773753
4.2,-2.99952717149078
4.21,-2.97368531555597
4.22,-2.94871781327047
4.23,-2.92458153751017
4.24,-2.90123498397664
4.25,-2.87863818121147
4.26,-2.85675260702126
4.27,-2.83554111102704
4.28,-2.81496784307927
4.29,-2.79499818730442
4.3,-2.77559870157177
4.31,-2.7567370621893
4.32,-2.7383820136551
4.33,-2.72050332330657
4.34,-2.70307174072243
4.35,-2.68605896174363
4.36,-2.6694375969873
4.37,-2.65318114473406
4.38,-2.63726396807193
4.39,-2.62166127618119
4.4,-2.60634910964255
4.41,-2.59130432964631
4.42,-2.57650461097313
4.43,-2.56192843860704
4.44,-2.5475551078286
4.45,-2.5333647276209
4.46,-2.5193382272035
4.47,-2.50545736548889
4.48,-2.49170474323409
4.49,-2.47806381763551
4.5,-2.46451891908936
4.51,-2.45105526981301
4.52,-2.43765900399473
4.53,-2.4243171891113
4.54,-2.41101784802559
4.55,-2.39774998144929
4.56,-2.38450359033197
4.57,-2.37126969771493
4.58,-2.35804036957004
4.59,-2.34480873412927
4.6,-2.33156899920137
4.61,-2.31831646696848
4.62,-2.30504754575891
4.63,-2.2917597583027
4.64,-2.27845174599484
4.65,-2.26512326871776
4.66,-2.25177519980989
4.67,-2.23840951581066
4.68,-2.22502928066494
4.69,-2.21163862412994
4.7,-2.19824271419563
4.71,-2.18484772340433
4.72,-2.17146078903523
4.73,-2.15808996720389
4.74,-2.14474418101441
4.75,-2.1314331629899
4.76,-2.11816739209533
4.77,-2.10495802575157
4.78,-2.09181682732124
4.79,-2.07875608962131
4.8,-2.06578855508521
4.81,-2.05292733325416
4.82,-2.04018581632509
4.83,-2.02757759351678
4.84,-2.01511636503845
4.85,-2.00281585645372
4.86,-1.99068973422825
4.87,-1.97875152323127
4.88,-1.9670145269309
4.89,-1.95549175097963
4.9,-1.94419583083334
4.91,-1.93313896398346
4.92,-1.92233284731086
4.93,-1.91178861999242
4.94,-1.90151681230909
4.95,-1.8915273006196
4.96,-1.88182926867835
4.97,-1.87243117539127
4.98,-1.86334072902139
4.99,-1.85456486777754
5,-1.84610974664702
